grp,pp,S,ID,peakVel,MT,accTime,decTime,accQ,IPerf,IPerfEf,Harmonicity,f,vfTrajCircularity,vfCircularity,q1,q2,q3,q4,maxangle
1,8,3,3,0.81497,0.907,0.3235,0.601,0.35442,5.8676,5.7526,0.075433,0.55487,0.78834,0.28944,0.89197,0.72905,0.89001,0.73571,3.1416
1,9,1,1,0.83048,0.4865,0.232,0.2585,0.47599,5.3432,6.4914,1,1.0615,0.79242,0.16604,0.82826,0.78765,0.7802,0.75315,1.1119
1,9,1,1,0.84736,0.393,0.19,0.202,0.48362,6.6146,8.5948,1,1.285,0.82596,0.17692,0.84899,0.81938,0.80688,0.81599,0.99203
1,9,1,1,0.90931,0.374,0.188,0.1885,0.49807,6.9505,10.01,1,1.3563,0.89924,0.16399,0.90299,0.92309,0.88179,0.89305,1.1865
1,9,1,2,0.8858,0.577,0.248,0.3175,0.44217,6.9324,6.442,1,0.87193,0.85941,0.20042,0.89763,0.8697,0.89004,0.81798,1.1599
1,9,1,2,0.91683,0.5905,0.2535,0.3305,0.43051,6.774,7.1323,0.59222,0.83705,0.88105,0.20489,0.9119,0.84958,0.90911,0.84574,1.2633
1,9,1,2,0.88441,0.716,0.298,0.418,0.41867,5.5866,5.9018,0.39796,0.68934,0.86488,0.1774,0.91453,0.82598,0.90519,0.82689,3.1416
1,9,1,3,0.75546,1.09,0.451,0.633,0.41385,4.8825,4.7296,0.10842,0.47832,0.77556,0.25711,0.90638,0.75475,0.78953,0.71974,1.8026
1,9,1,3,0.82337,1.0655,0.407,0.645,0.39557,4.9948,4.9429,0.080272,0.47789,0.81076,0.24948,0.87377,0.75407,0.87785,0.7649,3.1416
1,9,1,3,0.88619,1.067,0.367,0.692,0.35105,4.9877,5.1942,0.080923,0.46794,0.84361,0.29735,0.93956,0.79239,0.92757,0.78365,3.1416
1,9,2,1,0.86864,0.277,0.145,0.1345,0.51799,9.3843,12.939,1,1.8029,0.88427,0.13776,0.90468,0.90976,0.85246,0.8826,0.97361
1,9,2,1,0.86127,0.25,0.135,0.116,0.53508,10.398,13.269,1,2.0345,0.84925,0.11335,0.82304,0.88916,0.84477,0.84105,0.75819
1,9,2,1,0.86741,0.296,0.153,0.145,0.51311,8.782,10.446,1,1.6741,0.8665,0.13952,0.84237,0.91733,0.89667,0.85287,0.72674
1,9,2,2,0.9242,0.489,0.227,0.2625,0.46202,8.18,9.4752,1,1.0231,0.89892,0.20956,0.90434,0.87972,0.92881,0.88185,1.0977
1,9,2,2,0.82702,0.497,0.2205,0.2745,0.44755,8.0483,8.4666,0.46775,1.019,0.81896,0.19312,0.83242,0.80848,0.84071,0.79095,1.355
1,9,2,2,0.90101,0.489,0.219,0.271,0.44468,8.18,8.5639,1,1.019,0.86352,0.18726,0.86967,0.85464,0.90395,0.83658,1.0874
1,9,2,3,0.83727,0.95,0.327,0.6335,0.3468,5.6021,5.69,0.041061,0.51945,0.7572,0.28517,0.85623,0.67095,0.91102,0.75221,1.8354
1,9,2,3,0.8187,0.836,0.294,0.545,0.35374,6.3659,6.2864,0.056173,0.59679,0.79914,0.26144,0.89432,0.74345,0.90931,0.73806,1.5708
1,9,2,3,0.7972,0.8665,0.2985,0.5475,0.3535,6.1419,5.6743,0.059309,0.57165,0.76388,0.29986,0.84921,0.71938,0.89187,0.70254,1.5708
1,9,3,1,0.78081,0.278,0.1455,0.133,0.51689,9.3506,11.446,1,1.8029,0.77613,0.12747,0.78585,0.82334,0.77548,0.74897,0.74701
1,9,3,1,0.81738,0.223,0.125,0.1035,0.53991,11.657,15.723,1,2.3082,0.80568,0.12037,0.80594,0.79059,0.78869,0.84232,0.60687
1,9,3,1,0.88295,0.259,0.1395,0.1205,0.53374,10.037,12.367,1,1.9531,0.85803,0.1536,0.86277,0.88618,0.84168,0.8709,0.79697
1,9,3,2,0.84653,0.585,0.2455,0.327,0.43841,6.8376,7.2803,0.27195,0.83189,0.83127,0.19587,0.84515,0.77244,0.89243,0.8158,1.5708
1,9,3,2,0.86966,0.444,0.206,0.234,0.46396,9.009,9.246,1,1.1626,0.85268,0.14616,0.86723,0.83957,0.8765,0.83805,1.0703
1,9,3,2,0.89834,0.485,0.2245,0.2655,0.45799,8.2475,9.2202,1,1.019,0.8857,0.18905,0.88391,0.87661,0.91297,0.85145,1.2761
1,9,3,3,0.80593,0.911,0.3195,0.5955,0.34704,5.8419,5.4662,0.10187,0.55487,0.76993,0.30561,0.84805,0.69345,0.87593,0.72702,1.7905
1,9,3,3,0.8608,0.886,0.311,0.565,0.35748,6.0067,5.9466,0.13536,0.56152,0.83885,0.29214,0.91343,0.75035,0.9593,0.8004,1.5708
1,9,3,3,0.8157,0.9445,0.3235,0.6245,0.33846,5.6347,5.7356,0.098447,0.50951,0.81098,0.30596,0.90054,0.7425,0.91184,0.75791,1.5708
2,1,1,1,0.90972,0.324,0.17,0.157,0.5175,8.023,10.94,1,1.5625,0.89872,0.17045,0.92436,0.92304,0.85477,0.91227,0.91442
2,1,1,1,0.83858,0.237,0.128,0.1145,0.53358,10.968,14.58,1,2.0419,0.85308,0.158,0.85377,0.946,0.84529,0.82579,0.73948
2,1,1,1,0.8754,0.273,0.141,0.134,0.51705,9.5218,13.111,1,1.878,0.86291,0.14642,0.87698,0.89326,0.84186,0.84851,0.92729
2,1,1,2,0.87787,0.605,0.255,0.346,0.41157,6.6116,6.8179,1,0.77452,0.85999,0.21298,0.86734,0.81321,0.91652,0.80538,1.1279
2,1,1,2,0.92734,0.504,0.242,0.274,0.46591,7.9365,7.9948,1,0.97656,0.88978,0.18799,0.87128,0.8687,0.93307,0.8775,1.1509
2,1,1,2,0.86778,0.5685,0.2545,0.3165,0.43527,7.0361,7.6381,1,0.87193,0.86076,0.18837,0.86024,0.8301,0.91409,0.84193,1.261
2,1,1,3,0.61084,1.094,0.374,0.676,0.34124,4.8647,4.9018,0.061629,0.43846,0.64617,0.37567,0.76987,0.6136,0.71305,0.58858,3.068
2,1,1,3,0.82408,1.149,0.328,0.799,0.28605,4.632,4.366,0.036804,0.44759,0.76608,0.33861,0.93799,0.73642,0.89163,0.64567,1.5708
2,1,1,3,0.72264,1.069,0.3335,0.719,0.3372,4.9789,4.9269,0.035863,0.48828,0.70487,0.32695,0.83969,0.66183,0.827,0.62525,1.5708
2,1,2,1,0.86486,0.179,0.1005,0.089,0.54322,14.523,19.11,1,2.8076,0.79721,0.17474,0.76326,0.91669,0.91361,0.76864,0.73263
2,1,2,1,0.87815,0.2095,0.115,0.1035,0.52553,12.408,16.908,1,2.3438,0.85808,0.10056,0.8386,0.87695,0.88952,0.85474,0.5487
2,1,2,1,0.90917,0.173,0.104,0.0855,0.55241,15.026,21.375,1,2.9297,0.88849,0.11047,0.86287,0.94454,0.89872,0.89352,0.526
2,1,2,2,0.87722,0.6605,0.2695,0.3765,0.41581,6.056,6.749,1,0.78755,0.86432,0.23246,0.86971,0.82757,0.94567,0.8105,1.2405
2,1,2,2,0.91644,0.6565,0.3005,0.3585,0.44789,6.0931,6.8822,1,0.76294,0.89764,0.20122,0.90417,0.87848,0.92837,0.85108,1.403
2,1,2,2,0.91889,0.5925,0.276,0.319,0.46562,6.7511,7.1522,1,0.83189,0.8771,0.21746,0.88629,0.88088,0.91317,0.8482,1.1656
2,1,2,3,0.69456,1.2305,0.382,0.835,0.32241,4.3251,4.9509,0.032469,0.39438,0.70027,0.37855,0.85512,0.62469,0.80347,0.60835,3.1416
2,1,2,3,0.84023,1.088,0.36,0.725,0.34035,4.8915,5.2124,0.03798,0.45956,0.78259,0.29881,0.89358,0.76015,0.89339,0.68551,2.2464
2,1,2,3,0.86119,1.0575,0.344,0.708,0.33171,5.0326,5.3098,0.055627,0.47871,0.83351,0.3633,0.95569,0.80447,0.92608,0.72317,2.3365
2,1,3,1,0.83132,0.173,0.104,0.0965,0.54384,15.026,18.2,1,2.9297,0.80184,0.10314,0.86873,0.87239,0.79588,0.77716,0.19709
2,1,3,1,0.86478,0.2385,0.1325,0.115,0.5354,10.899,14.274,1,2.1307,0.86847,0.11861,0.86561,0.92182,0.83911,0.88278,0.74917
2,1,3,1,0.859,0.177,0.1025,0.086,0.56424,14.686,20.334,1,2.8076,0.82953,0.12962,0.79649,0.882,0.85995,0.80597,0.61022
2,1,3,2,0.91049,0.571,0.256,0.323,0.42233,7.0053,8.2383,1,0.86388,0.90192,0.23707,0.89806,0.89486,0.95469,0.84858,1.2591
2,1,3,2,0.86383,0.705,0.298,0.41,0.42526,5.6738,6.7906,1,0.68063,0.87311,0.23777,0.89385,0.84615,0.92006,0.82488,1.2018
2,1,3,2,0.95273,0.6225,0.2835,0.347,0.44557,6.4257,7.3709,1,0.8138,0.92564,0.22757,0.93892,0.933,0.95227,0.87926,1.3775
2,1,3,3,0.81143,1.493,0.439,1.064,0.28921,3.5646,4.1216,0.034999,0.32106,0.75827,0.41864,0.90591,0.71105,0.92483,0.70137,3.1416
2,1,3,3,0.79336,1.105,0.3355,0.7565,0.30806,4.8162,5.3806,0.033753,0.44222,0.7928,0.36438,0.87987,0.7227,0.88881,0.67479,1.5708
