grp,pp,S,ID,peakVel,MT,accTime,decTime,accQ,IPerf,IPerfEf,Harmonicity,f,vfTrajCircularity,vfCircularity,q1,q2,q3,q4,maxangle
2,1,2,2,0.81357,1.161,0.3455,0.832,0.298,4.5839,4.7299,0.079993,0.42832,0.80115,0.35895,0.93192,0.70805,0.92611,0.70682,1.5108
2,1,2,2,0.85536,1.185,0.36,0.8215,0.31332,4.4911,4.5539,0.071096,0.43194,0.78235,0.30672,0.92356,0.76772,0.91116,0.70117,1.5708
2,1,3,1,0.91705,0.302,0.148,0.16,0.47692,8.6075,11.557,1,1.6741,0.88751,0.18447,0.88341,0.91729,0.91827,0.86625,1.0484
2,1,3,1,0.85951,0.234,0.1175,0.1155,0.49663,11.109,14.198,1,2.1307,0.86441,0.16121,0.87769,0.88308,0.84503,0.83673,0.86675
2,1,3,1,0.88768,0.2385,0.116,0.1255,0.49445,10.899,12.637,1,2.1307,0.88534,0.1253,0.91031,0.90718,0.86915,0.85432,0.86525
2,1,3,2,0.77746,1.236,0.3735,0.8455,0.30629,4.3058,4.7985,0.08789,0.4138,0.81563,0.3934,0.94876,0.754,0.87862,0.69157,2.3252
2,1,3,2,0.75271,1.13,0.3695,0.7605,0.32379,4.7098,4.8702,0.086249,0.45211,0.77077,0.31965,0.84657,0.69075,0.89435,0.71589,1.509
2,1,3,2,0.90305,1.0755,0.379,0.7155,0.35549,4.9483,4.8514,0.10424,0.45711,0.86643,0.32874,0.93024,0.80227,0.97874,0.80544,1.5708
2,4,1,1,0.77148,0.358,0.16,0.197,0.45666,7.2611,9.7946,1,1.2638,0.76134,0.17327,0.78685,0.79567,0.79061,0.71219,1.2318
2,4,1,1,0.81994,0.268,0.1325,0.1425,0.4835,9.6995,11.223,1,1.878,0.82825,0.16518,0.82575,0.87804,0.84906,0.77422,0.891
2,4,1,1,0.8566,0.2795,0.141,0.1455,0.48743,9.3004,10.028,1,1.8029,0.85038,0.16069,0.77734,0.91025,0.91135,0.74184,0.7314
2,4,1,2,0.81616,1.1035,0.298,0.8005,0.27572,4.8228,4.9466,0.05786,0.44222,0.80888,0.40592,0.928,0.66546,0.91251,0.63294,3.1416
2,4,1,2,0.80705,1.032,0.292,0.7495,0.28153,5.1569,5.2169,0.085184,0.46875,0.75813,0.37832,0.92616,0.71366,0.89998,0.65825,1.5708
2,4,1,2,0.87264,1.185,0.299,0.87,0.25917,4.4911,4.4316,0.07999,0.42126,0.76511,0.42256,0.96118,0.74652,0.9295,0.66415,1.4832
2,4,2,1,0.85527,0.278,0.139,0.141,0.49564,9.3507,11.744,1,1.8029,0.84916,0.15553,0.83674,0.9592,0.86767,0.8089,0.97836
2,4,2,1,0.8423,0.204,0.1065,0.1005,0.51392,12.743,17.131,1,2.5391,0.85467,0.10606,0.88431,0.87265,0.81098,0.86847,0.87483
2,4,2,1,0.87101,0.21,0.1125,0.1025,0.53787,12.378,17.158,1,2.4414,0.86199,0.12521,0.84667,0.90164,0.85583,0.8473,0.82962
2,4,2,2,0.82799,1.191,0.345,0.828,0.29578,4.4685,4.4324,0.092631,0.42832,0.76241,0.35296,0.95571,0.75212,0.8765,0.70944,1.4847
2,4,2,2,0.87538,1.176,0.3325,0.837,0.2843,4.5255,4.813,0.10211,0.42614,0.8064,0.42127,0.98281,0.79753,0.93692,0.70463,1.5708
2,4,2,2,0.88936,1.21,0.3305,0.87,0.27907,4.3983,4.6693,0.068787,0.42093,0.74833,0.44667,0.9876,0.73253,0.93743,0.68837,1.4735
2,4,3,1,0.86159,0.272,0.1405,0.14,0.50191,9.5568,11.036,1,1.878,0.84046,0.15609,0.79478,0.92355,0.84318,0.78682,0.97872
2,4,3,1,0.89542,0.233,0.1215,0.116,0.51972,11.156,13.042,1,2.1307,0.85367,0.16107,0.82225,0.94685,0.89118,0.81836,0.86877
2,4,3,1,0.87304,0.234,0.124,0.119,0.50934,11.109,14.608,1,2.1307,0.86832,0.14307,0.84883,0.9207,0.85022,0.82441,0.75257
2,4,3,2,0.76332,1.196,0.357,0.826,0.32221,4.4498,4.5752,0.10284,0.40838,0.79316,0.32763,0.91561,0.771,0.87817,0.67635,1.5708
2,4,3,2,0.90667,1.169,0.3735,0.7835,0.34075,4.5528,4.8798,0.12765,0.43846,0.8595,0.38059,0.96784,0.86081,0.95555,0.74091,2.1495
2,4,3,2,0.88073,1.1875,0.3605,0.822,0.30561,4.4816,4.8236,0.10972,0.41853,0.82832,0.38404,0.96399,0.80064,0.95543,0.716,1.5708
2,5,1,1,0.81731,0.565,0.293,0.282,0.50607,4.6008,6.0085,1,0.97656,0.76923,0.19001,0.78511,0.78791,0.74996,0.73939,1.4263
2,5,1,1,0.87001,0.481,0.241,0.232,0.51044,5.4045,7.6313,1,1.019,0.86392,0.14871,0.8789,0.90593,0.83653,0.83063,0.96759
2,5,1,1,0.89765,0.475,0.24,0.237,0.50682,5.4726,7.1437,1,1.0653,0.84902,0.1651,0.8484,0.86239,0.82858,0.84794,1.1077
2,5,1,2,0.80138,1.44,0.52,0.92,0.36671,3.6958,3.7609,0.11489,0.35383,0.7511,0.33874,0.8853,0.72528,0.85879,0.67993,1.8427
2,5,1,2,0.84388,1.385,0.4735,0.9065,0.34282,3.8425,4.0685,0.10208,0.36991,0.80131,0.34868,0.93778,0.73779,0.90618,0.74637,3.1416
2,5,1,2,0.81471,1.323,0.424,0.88,0.33277,4.0226,4.1979,0.11117,0.36621,0.75826,0.34408,0.91047,0.71064,0.9111,0.68938,2.6356
2,5,2,1,0.82779,0.316,0.1605,0.153,0.51266,8.2261,10.707,1,1.5625,0.82057,0.15172,0.76501,0.87596,0.84422,0.77352,1.0468
2,5,2,1,0.87236,0.34,0.1655,0.1725,0.49319,7.6455,9.5729,1,1.4648,0.88931,0.15753,0.84498,0.92665,0.90284,0.81588,1.2614
2,5,2,1,0.86991,0.3325,0.161,0.167,0.49335,7.8184,11.433,1,1.4974,0.86153,0.12456,0.85176,0.88231,0.86097,0.82011,1.0597
2,5,2,2,0.69565,1.173,0.3665,0.8055,0.30891,4.5371,4.7293,0.080284,0.43777,0.72276,0.34241,0.79,0.63769,0.80052,0.67948,1.5708
2,5,2,2,0.80251,1.0625,0.359,0.7175,0.33243,5.0089,5.1563,0.05187,0.47907,0.75262,0.25697,0.88952,0.71667,0.87395,0.673,1.671
2,5,2,2,0.81104,1.013,0.351,0.6565,0.36317,5.2537,5.5846,0.099161,0.47743,0.7958,0.27316,0.90364,0.77637,0.89844,0.70896,1.4522
2,5,3,1,0.89062,0.3145,0.1545,0.1555,0.49765,8.2654,12.387,1,1.6276,0.88102,0.14216,0.84338,0.87637,0.88978,0.86161,0.92275
2,5,3,1,0.89256,0.287,0.144,0.142,0.50088,9.0574,12.28,1,1.7278,0.87303,0.12336,0.83352,0.90786,0.90176,0.85675,1.0024
2,5,3,1,0.89692,0.278,0.143,0.1375,0.51006,9.3507,10.133,1,1.8029,0.86704,0.1603,0.76203,0.88041,0.89777,0.86399,0.95643
2,5,3,2,0.82887,1.002,0.307,0.694,0.31395,5.3113,5.8155,0.083698,0.51153,0.79892,0.32241,0.92684,0.71877,0.92611,0.71047,2.02
2,5,3,2,0.85853,0.9595,0.32,0.651,0.32661,5.5466,5.7539,0.13251,0.49867,0.83753,0.32495,0.91591,0.74789,0.92759,0.73725,1.5708
2,5,3,2,0.8577,1.103,0.327,0.789,0.29521,4.825,5.2314,0.090494,0.44759,0.85807,0.35497,0.93331,0.72539,0.96513,0.72813,1.5708
2,7,1,1,0.81782,0.283,0.147,0.139,0.52355,9.1854,9.7593,1,1.237,0.81223,0.15426,0.80113,0.91715,0.81291,0.7771,0.92717
2,7,1,1,0.76239,0.3095,0.1565,0.1505,0.52381,8.3989,9.1438,1,1.6927,0.75941,0.16143,0.76671,0.84066,0.73113,0.72375,1.0585
2,7,1,1,0.84994,0.354,0.18,0.17,0.51648,7.3431,8.0484,1,1.3787,0.80048,0.1824,0.82405,0.8837,0.75409,0.789,1.1941
